RESPONSABLE DE SERVICIO,,, ,,,,,,DISTANCIA,ADULTO,ESCOLAR MEDIA,ESCOLAR SUPERIOR,TARIFA TERCERA EDAD,TARIFA MINIMA,INTERIOR,NOCTURNA,LOCAL URBANO,LOCAL RURAL,INTERMEDIOS,TRASNOCHE,DGOS- Y FESTIVOS,INICIO,TÉRMINO,N° Resolucion,Fecha,tipo servicio,
Folio,NOMBRE EMPRESA,COMUNA,Troncal - RUTA O VTE,TRAMO,SECTOR INICIO,COMUNA,SECTOR TÉRMINO,COMUNA,KM.,$,$,$,$,$,$,$,$,$,$,$,$,Hrs:,Hrs:,,,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,10,Esmeralda,Los Andes,Lo Camus ,San Esteban,19,,,,,,,3001,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
4,EMPRESA DE COLECTIVOS  SAN ISIDRO LTDA,Quillota,RUTA 1-2,,QUILLOTA,QUILLOTA,SAN ISIDRO,QUILLOTA,,500,,,,,,,,,,,,07.30,21.30,,,COLECTIVO RURAL,
4,EMPRESA DE COLECTIVOS  SAN ISIDRO LTDA,Quillota,RUTA 1-2,,QUILLOTA,QUILLOTA,POB. 11 SEPTIEMBRE,QUILLOTA,,600,,,,,,,,,,,,07.30,21.30,,,COLECTIVO RURAL,
4,EMPRESA DE COLECTIVOS  SAN ISIDRO LTDA,Quillota,RUTA 1-2,,QUILLOTA,QUILLOTA,PUEBLO INDIO,QUILLOTA,,400,,,,,,,,,,,,07.30,21.30,,,COLECTIVO RURAL,
4,EMPRESA DE COLECTIVOS  SAN ISIDRO LTDA,Quillota,RUTA 1-2,,QUILLOTA,QUILLOTA,LOS ALMENDROS,QUILLOTA,,400,,,,,,,,,,,,07.30,21.30,,,COLECTIVO RURAL,
4,EMPRESA DE COLECTIVOS  SAN ISIDRO LTDA,Quillota,RUTA 1-2,,QUILLOTA,QUILLOTA,PARCELA SAN ISIDRO,QUILLOTA,,700,,,,,,,,,,,,07.30,21.30,,,COLECTIVO RURAL,
4,EMPRESA DE COLECTIVOS  SAN ISIDRO LTDA,Quillota,RUTA 1-2,x,QUILLOTA,QUILLOTA,ROTONDA SAN IDIDRO,QUILLOTA,,400,,,,,,,,,,,,07.30,21.30,,,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 1,1,La Paz,Puchuncaví,Campiche,Puchuncaví,4,900,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 1,2,La Paz,Puchuncaví,La Greda,Puchuncaví,7,1000,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 1,3,La Paz,Puchuncaví,Las Ventanas,Puchuncaví,8,1000,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 1,4,La Paz,Puchuncaví,Arturo Prat,Quintero,21,1500,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 1,5,Arturo Prat ,Puchuncaví,La Greda,Puchuncaví,12,1000,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
